Name,Year,Letterboxd URI,Rating,Watched Date,Review,Genre,Country
Roma,2018,https://boxd.it/1it1ZR,3.0,2020-08-12,,Drama,"United Kingdom, United States of America"
Gravity,2013,https://boxd.it/1izFE7,2.0,2020-08-13,,"Science Fiction, Thriller, Drama","United Kingdom, United States of America"
The Square,2017,https://boxd.it/1jbB6h,3.0,2020-08-18,Christian was hot 🙂,Drama,"Denmark, France, Germany, Sweden, United States of America"
Manchester by the Sea,2016,https://boxd.it/1jcrzP,4.0,2020-08-19,One of the few movies that made me cry.,Drama,United States of America
The Lobster,2015,https://boxd.it/1jgM6R,3.0,2020-08-20,Fuck that loner leader.,"Comedy, Drama, Romance","France, Greece, Ireland, Netherlands, United Kingdom"
Blue Valentine,2010,https://boxd.it/1jyCU9,3.0,2020-08-22,"Cindy was being a bitch. She had to be there and try to solve the problems not just quitting after all the things Dean did.
And the interesting thing is that the whole movie wanted us to believe this, cause we know everything about Cindy’s life but we don’t even know what’s Deans family name!","Drama, Romance",United States of America
The Big Lebowski,1998,https://boxd.it/1ltW2J,2.0,2020-09-09,,"Comedy, Crime","United Kingdom, United States of America"
GoodFellas,1990,https://boxd.it/1ltWg7,3.5,2020-09-09,After all being a rat is such a dick move.,"Drama, Crime",United States of America
A Beautiful Mind,2001,https://boxd.it/1ltWrz,3.0,2020-09-09,Thanks for making these movies and letting us know these kinda people!,"Drama, Romance",United States of America
2046,2004,https://boxd.it/1ltWBp,3.0,2020-09-09,I like the story! Complicated but simple at the same time.,"Drama, Science Fiction, Romance","Germany, Hong Kong, China, France, Italy"
Chemical Hearts,2020,https://boxd.it/1ltWLp,2.0,2020-09-09,,"Drama, Romance",United States of America
Allied,2016,https://boxd.it/1ltWU7,3.0,2020-09-09,"I fuckin cried:,(((
And that’s a rare thing.","Action, Drama, War, Romance, Thriller","China, United States of America"
One Day,2011,https://boxd.it/1ltXap,3.5,2020-09-09,"The fake British accent was bothering, but oh man.....
I was about to cry....
Fuck trucks.","Drama, Romance","United Kingdom, United States of America"
The Hangover,2009,https://boxd.it/1rldL3,3.0,2020-10-22,Photos were epic!,Comedy,United States of America
The Hangover Part II,2011,https://boxd.it/1rlel1,3.0,2020-10-23,"I don’t get it man, how the hell he was ok with loosing his finger?",Comedy,United States of America
Three Monkeys,2008,https://boxd.it/1rlftv,3.0,2020-11-01,It’s always Erdoğan‘s fault.,"Drama, Thriller","Turkey, Italy, France"
La Dolce Vita,1960,https://boxd.it/1rmaJF,1.0,2020-11-03,"Waste of time.
But nice boobs and asses man:)))
I mean it was 1960’s after all:))))))","Comedy, Drama","France, Italy"
Catch Me If You Can,2002,https://boxd.it/1rwmPZ,3.0,2020-11-04,,"Drama, Crime",United States of America
Memories of Murder,2003,https://boxd.it/1HPxkZ,3.5,2021-03-06,They guy who was fixing something in downstairs while they were interrogating the hung up man was the murderer. But anyway I WANTED AN ENDING.,"Crime, Drama, Thriller",South Korea
8 Mile,2002,https://boxd.it/1K0Mr7,2.0,2021-03-08,,"Drama, Music","Germany, United States of America"
WandaVision,2021,https://boxd.it/1J9OLn,3.0,2021-03-15,Poor Wanda:(((,Unknown,Unknown
I Care a Lot,2020,https://boxd.it/1J9OWF,3.5,2021-03-16,"Tbh, deep down I rly needed that ending part.","Crime, Thriller, Drama, Comedy","United Kingdom, United States of America"
Jack Reacher,2012,https://boxd.it/1K0Lld,1.5,2021-03-22,,"Crime, Drama, Thriller, Action",United States of America
Set It Up,2018,https://boxd.it/1K1mhH,3.0,2021-03-22,,"Romance, Comedy",United States of America
Jennifer's Body,2009,https://boxd.it/1K87Tv,1.5,2021-03-23,MEGAN FOX SUCKS IN ACTING NO MATTER WHAT.,"Horror, Comedy",United States of America
Moonlight,2016,https://boxd.it/1K90nJ,2.0,2021-03-24,,Drama,United States of America
The Vow,2012,https://boxd.it/1ObcQj,3.0,2021-03-30,"Life goals:,))))","Drama, Romance",United States of America
Blade Runner,1982,https://boxd.it/1OberF,1.5,2021-04-05,,"Science Fiction, Drama, Thriller","United States of America, Hong Kong, United Kingdom"
Blade Runner 2049,2017,https://boxd.it/1Obn6r,2.0,2021-04-06,,"Science Fiction, Drama","Canada, United Kingdom, United States of America"
Second Act,2018,https://boxd.it/1Oq7ST,2.0,2021-04-20,,"Romance, Comedy","United States of America, China"
In the Arms of an Assassin,2019,https://boxd.it/1OoMsX,0.5,2021-04-21,,"Romance, Thriller",Dominican Republic
Bicentennial Man,1999,https://boxd.it/1PaNi1,3.0,2021-04-27,,"Drama, Romance, Science Fiction","Germany, United States of America"
The Curious Case of Benjamin Button,2008,https://boxd.it/1Pc1FF,3.0,2021-04-27,,"Drama, Fantasy, Romance",United States of America
The Father,2020,https://boxd.it/1QaN1X,4.0,2021-05-04,It’s so sad to know my own grandpa has gone through this pain.,Drama,"France, United Kingdom"
The Mitchells vs. the Machines,2021,https://boxd.it/1RHXEZ,2.5,2021-05-13,,"Animation, Adventure, Comedy","Hong Kong, United States of America"
Steve Jobs,2015,https://boxd.it/1RHSNn,3.0,2021-05-14,"Felt bad for not knowing what was going on behind this popular logo.
The documentary could have been made better with a clear timeline.","Drama, History","United States of America, United Kingdom"
Ted,2012,https://boxd.it/1T1vYV,3.0,2021-05-25,Mila>>>>>>>>>>>>>>,"Comedy, Fantasy",United States of America
The Blind Side,2009,https://boxd.it/1ToWRj,3.0,2021-05-27,,Drama,United States of America
Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1TnbEl,3.0,2021-05-28,I lost my shit when Bexter came back.,Comedy,United States of America
How to Lose a Guy in 10 Days,2003,https://boxd.it/21MJvJ,3.5,2021-07-19,,"Comedy, Romance",United States of America
All Together Now,2020,https://boxd.it/21MKmD,2.0,2021-07-20,Just take that money bitch.,Drama,United States of America
All the Bright Places,2020,https://boxd.it/21MJ6p,3.0,2021-07-27,,"Romance, Drama",United States of America
Neighbors,2014,https://boxd.it/21ML2T,3.0,2021-07-27,Cool parents!,Comedy,United States of America
Neighbors 2: Sorority Rising,2016,https://boxd.it/21MLm5,3.5,2021-07-27,Best toy for a kid!,Comedy,United States of America
Dirty Grandpa,2016,https://boxd.it/21MLwf,3.0,2021-07-28,Pamela is the best!,Comedy,"United States of America, Germany"
To All the Boys: P.S. I Still Love You,2020,https://boxd.it/22aql9,2.0,2021-07-30,I just watched it because of Peter.,"Romance, Comedy",United States of America
Adrift,2018,https://boxd.it/22kAyd,4.0,2021-08-01,"If I could live again, I would live like that.","Thriller, Romance, Adventure","Iceland, United States of America"
I Still Believe,2020,https://boxd.it/23dxcX,0.5,2021-08-06,"Camp just wanted to introduce himself, he didn’t want to really talk about his ex wife’s life.
If he would we would have known what’s the deal with that coat.","Music, Drama, Romance",United States of America
Looks That Kill,2020,https://boxd.it/23dxpn,0.5,2021-08-06,Wtf man. Awwwwwfull.,"Comedy, Romance, Drama",United States of America
Malevolent,2018,https://boxd.it/2574Ll,3.0,2021-08-21,Shit was scary.,Horror,United Kingdom
Vicky Cristina Barcelona,2008,https://boxd.it/278NzJ,3.0,2021-09-03,,"Drama, Romance","Spain, United States of America"
Deep Water,2022,https://boxd.it/2HKF6z,2.0,2022-03-27,,"Drama, Mystery, Thriller",United States of America
Spider-Man: No Way Home,2021,https://boxd.it/2HKFsF,2.0,2022-03-28,Rewatched wrong spider man movies before watching this.,"Action, Adventure, Science Fiction",United States of America
The Eyes of Tammy Faye,2021,https://boxd.it/2KKU1V,4.0,2022-04-14,Jessica🤌🏿,"Drama, History",United States of America
Elvis,2022,https://boxd.it/3cX8hp,3.0,2022-08-26,,"Music, History, Drama","Australia, United States of America"
Malcolm & Marie,2021,https://boxd.it/3d3F3n,4.0,2022-09-08,,"Drama, Romance",United States of America
The Menu,2022,https://boxd.it/3JB26N,3.0,2023-01-19,,"Comedy, Horror",United States of America
The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/3JB3bJ,1.5,2023-01-19,-.-,"Comedy, Science Fiction, Adventure",United States of America
Queen of the Desert,2015,https://boxd.it/3Pxv4n,0.5,2023-02-07,"Stupid 
They don’t know shit about middle east","Drama, Adventure, History","Morocco, United States of America"
Babylon,2022,https://boxd.it/3Q6qw7,3.5,2023-02-11,My new favorite.,"Drama, Comedy",United States of America
Breakfast at Tiffany's,1961,https://boxd.it/470Y2h,3.0,2023-02-11,,"Comedy, Romance, Drama",United States of America
Puss in Boots: The Last Wish,2022,https://boxd.it/470dlh,2.0,2023-03-16,,"Animation, Adventure, Fantasy, Comedy, Family",United States of America
Bullet Train,2022,https://boxd.it/470fq9,3.0,2023-03-27,,"Action, Comedy, Thriller",United States of America
The Age of Adaline,2015,https://boxd.it/470clF,3.0,2023-03-30,,"Romance, Fantasy, Drama",United States of America
The Unbearable Weight of Massive Talent,2022,https://boxd.it/470bUT,3.0,2023-04-06,,"Action, Comedy, Crime",United States of America
Goliyon Ki Raasleela Ram-Leela,2013,https://boxd.it/4705RT,4.0,2023-04-07,,"Drama, Romance",India
Drive,2011,https://boxd.it/492RZ9,3.5,2023-04-20,:(((((,"Drama, Thriller, Crime",United States of America
Don't Worry Darling,2022,https://boxd.it/492SyN,3.0,2023-04-20,"Jack, you are an asshole dumbass.","Science Fiction, Mystery, Thriller, Horror",United States of America
The Amazing Spider-Man,2012,https://boxd.it/4p2njB,3.0,2023-05-09,,"Action, Adventure, Science Fiction",United States of America
The Amazing Spider-Man 2,2014,https://boxd.it/4p2nqR,3.0,2023-05-13,,"Action, Adventure, Science Fiction",United States of America
Noel,2004,https://boxd.it/4hidJJ,2.5,2023-05-18,Just the dance scene,Drama,"Canada, United States of America"
A Most Violent Year,2014,https://boxd.it/4p2or7,3.0,2023-05-18,,"Crime, Drama, Thriller","United Arab Emirates, United States of America"
No Way Out,2022,https://boxd.it/4p2pk7,3.0,2023-05-24,"Wellllllll, great scenes🍒 in first half hour, no need to watch the rest.","Thriller, Crime, Action",United States of America
Spencer,2021,https://boxd.it/4pi44f,3.5,2023-06-20,Wish it could cover more of her life,Drama,"Chile, Germany, United Kingdom, United States of America"
"Are You There God? It's Me, Margaret.",2023,https://boxd.it/4pp4PT,1.5,2023-06-22,,"Comedy, Drama",United States of America
The Town,2010,https://boxd.it/4pxgCD,3.0,2023-06-22,,"Crime, Drama, Thriller",United States of America
The Guilty,2021,https://boxd.it/4q3WJP,2.0,2023-06-22,It was like one of Tom hardy movies. Boring.,"Drama, Thriller",United States of America
Anesthesia,2015,https://boxd.it/4rUP0D,3.0,2023-06-30,,"Drama, Thriller",United States of America
My Fault,2023,https://boxd.it/4tFNn9,1.0,2023-07-06,-.-,"Drama, Romance, Thriller",Spain
Zodiac,2007,https://boxd.it/4u7v1v,4.0,2023-07-07,Wow.,"Crime, Mystery, Thriller",United States of America
Glass Onion,2022,https://boxd.it/4uACaH,3.0,2023-07-08,,"Comedy, Crime, Mystery",United States of America
Deception,2008,https://boxd.it/4w82pj,2.0,2023-07-14,Boring,"Thriller, Mystery","Spain, United States of America"
The Game,1997,https://boxd.it/4y44Ol,4.0,2023-07-20,"I would kill them all if I was Nicholas, but well, he’s after Clare.","Drama, Thriller, Mystery",United States of America
Girls to Buy,2021,https://boxd.it/4yhefr,2.0,2023-07-21,,"Thriller, Drama, Crime, Action",Poland
The Vow,2012,https://boxd.it/4yhh13,3.0,2023-07-21,"Unconsciously I rewatched it and enjoyed it again. Real definition of love in the movies:,)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))","Drama, Romance",United States of America
Remember Me,2010,https://boxd.it/4yiXMR,3.5,2023-07-21,"I just love the senario. Like you think finally everything is going well at the end, and it’ll be “happily ever after” but then boom surprise mother fucker! Live rest of your life with regrets puta!","Drama, Romance",United States of America
Gehraiyaan,2022,https://boxd.it/4yVCZj,3.0,2023-07-21,"Less indian, more realistic.","Romance, Drama",India
I Care a Lot,2020,https://boxd.it/4HQBTP,3.5,2023-08-03,"Rewatched it with friends, still one of my fav ones.","Crime, Thriller, Drama, Comedy","United Kingdom, United States of America"
Like Crazy,2011,https://boxd.it/4HQD0H,2.0,2023-08-03,Weirdos.,"Drama, Romance",United States of America
Extraction 2,2023,https://boxd.it/4HQDN5,2.0,2023-08-03,Is it a movie or a video game on easy level?,"Action, Thriller, Crime",United States of America
A Long Way Down,2014,https://boxd.it/4HQBbN,2.5,2023-08-10,The girl was on my nerves.,"Comedy, Drama","United Kingdom, Germany"
Return to Sender,2015,https://boxd.it/4HQCwR,3.5,2023-08-11,And that’s what I call a revenge.,"Drama, Thriller",United States of America
Delighted,2016,https://boxd.it/4JAhb5,0.5,2023-08-22,,Unknown,Iran
Mean Girls,2004,https://boxd.it/4ZLdWR,3.0,2023-10-06,,"Drama, Comedy",United States of America
Ford v Ferrari,2019,https://boxd.it/4ZLeFx,4.0,2023-10-12,,"Drama, Action, History",United States of America
Gran Turismo,2023,https://boxd.it/4ZLbHF,3.5,2023-10-13,,"Adventure, Drama, Action",United States of America
"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/4ZLcht,3.0,2023-10-13,,"Drama, Comedy","United States of America, Germany"
One Flew Over the Cuckoo's Nest,1975,https://boxd.it/50L8cD,4.0,2023-10-17,,Drama,United States of America
The Music Man,2007,https://boxd.it/52jNvj,3.5,2023-10-18,,"Music, Drama",Iran
When Harry Met Sally...,1989,https://boxd.it/543njR,3.0,2023-10-27,,"Comedy, Romance, Drama",United States of America
The Big Short,2015,https://boxd.it/5S9U5P,4.0,2024-01-27,,"Comedy, Drama",United States of America
A Nice Girl Like You,2020,https://boxd.it/5MYbUL,0.5,2024-02-08,"SO FUCKIN STUPID 
OMG","Comedy, Romance",United States of America
Almost Famous,2000,https://boxd.it/5S9XuN,2.5,2024-02-09,,"Drama, Music",United States of America
Love at First Sight,2023,https://boxd.it/5R0Di1,3.0,2024-02-10,,"Romance, Drama",United States of America
Bride Wars,2009,https://boxd.it/5S9Yrv,3.0,2024-02-10,,"Comedy, Romance",United States of America
May December,2023,https://boxd.it/5Sa0Qx,1.5,2024-02-11,,Drama,United States of America
Love at First Sight,2023,https://boxd.it/5Sa1Al,3.0,2024-02-11,,"Romance, Drama",United States of America
13 Going on 30,2004,https://boxd.it/5Sa1YR,2.0,2024-02-15,,"Comedy, Fantasy, Romance",United States of America
Legally Blonde,2001,https://boxd.it/5R0aLN,2.0,2024-02-17,,Comedy,United States of America
White Boy Rick,2018,https://boxd.it/5RBhSv,2.5,2024-02-18,,"Crime, Drama",United States of America
Society of the Snow,2023,https://boxd.it/5UKPzd,3.5,2024-02-23,I cried.,"Drama, History","Spain, United States of America"
Under the Shadow,2016,https://boxd.it/5UKO9t,2.5,2024-02-24,It could have continued.,"Drama, Horror, War","Jordan, United Kingdom"
House of Gucci,2021,https://boxd.it/5UKOLd,3.5,2024-02-24,,"Drama, Crime, History","Canada, United States of America"
Promising Young Woman,2020,https://boxd.it/5X485R,4.0,2024-03-01,I loved Ryan’s sense of humor:((((,"Thriller, Crime, Drama",United States of America
Vacation,2015,https://boxd.it/60jALX,2.0,2024-03-08,The photos on the title sequence 👌🏻,"Comedy, Adventure",United States of America
Oppenheimer,2023,https://boxd.it/62qdpL,3.0,2024-03-13,,"Drama, History","United Kingdom, United States of America"
Drive-Away Dolls,2024,https://boxd.it/66JIMb,2.0,2024-03-21,,"Comedy, Crime","United Kingdom, United States of America"
Anyone But You,2023,https://boxd.it/66OdJP,2.0,2024-03-22,,"Romance, Comedy",United States of America
On My Skin,2018,https://boxd.it/67aw0j,3.0,2024-03-23,"Why the lawyer didn’t show up in the fuckin hospital?
Amd why that fuckin nurse didn’t find him a chocolate? MI HA FATTO PIANGERE",Drama,Italy
Wind River,2017,https://boxd.it/67lOhJ,4.0,2024-03-23,,"Crime, Mystery, Drama, Thriller","France, United Kingdom, United States of America"
You Should Have Left,2020,https://boxd.it/69i8Kh,0.5,2024-03-26,,"Horror, Thriller",United States of America
Eileen,2023,https://boxd.it/69kY8X,0.5,2024-03-28,What?,"Thriller, Crime","United Kingdom, United States of America"
The Man from U.N.C.L.E.,2015,https://boxd.it/6aG3rB,3.0,2024-03-30,,"Comedy, Action, Adventure",United States of America
This Is the End,2013,https://boxd.it/6b63dL,2.0,2024-03-31,,"Action, Comedy",United States of America
Lost Girls,2020,https://boxd.it/6dA4GR,3.5,2024-04-06,Why the police wasn’t doing anything?,"Drama, Mystery, Thriller, History",United States of America
Dune,2021,https://boxd.it/6e3uOP,3.5,2024-04-07,,"Science Fiction, Adventure",United States of America
Dune: Part Two,2024,https://boxd.it/6esaOF,3.5,2024-04-07,Needed more of Léa.,"Science Fiction, Adventure",United States of America
Knocked Up,2007,https://boxd.it/6fEMPp,2.5,2024-04-08,,"Comedy, Romance, Drama",United States of America
Just Go with It,2011,https://boxd.it/6fEMu7,3.0,2024-04-09,,"Comedy, Romance",United States of America
The Longest Ride,2015,https://boxd.it/6gm6Gj,2.5,2024-04-12,Poor Ira …,"Drama, Romance",United States of America
Ad Astra,2019,https://boxd.it/6mAHAT,2.0,2024-04-28,,"Science Fiction, Drama","Brazil, China, United States of America"
Bones and All,2022,https://boxd.it/6sZj23,0.5,2024-05-12,,"Horror, Romance, Drama","Italy, United States of America"
The Spy Who Dumped Me,2018,https://boxd.it/6sZjbz,3.0,2024-05-12,,"Comedy, Action, Adventure",United States of America
Challengers,2024,https://boxd.it/6BKgrZ,4.0,2024-06-02,,"Drama, Romance","Italy, United States of America"
The Intern,2015,https://boxd.it/6GoeI1,1.5,2024-06-16,,Comedy,United States of America
The Break-Up,2006,https://boxd.it/6IKQpX,3.0,2024-06-18,,"Romance, Comedy",United States of America
Two Sisters,2009,https://boxd.it/6Oj1yf,1.0,2024-07-04,,"Comedy, Drama, Family",Iran
You and Me,2011,https://boxd.it/6Oj2wz,0.5,2024-07-04,,Comedy,Unknown
La Chimera,2023,https://boxd.it/8Gj80N,3.5,2025-01-31,,"Drama, Fantasy, Comedy","Italy, France, Switzerland, Turkey"
Emilia Pérez,2024,https://boxd.it/8Ht8Tx,2.0,2025-02-01,,"Drama, Thriller","Belgium, France, United States of America, Mexico"
Anora,2024,https://boxd.it/8IgRP9,3.0,2025-02-02,,"Drama, Comedy, Romance",United States of America
Something from Tiffany's,2022,https://boxd.it/8LkpGX,2.0,2025-02-06,,"Romance, Comedy, Drama",United States of America
The Gap,2014,https://boxd.it/8Lkrld,2.0,2025-02-07,,Drama,United States of America
Memory,2023,https://boxd.it/8LJNMb,3.0,2025-02-08,I didn’t get the point of Saul being naked most of the time.,"Action, Thriller, Crime",United States of America
The Hand of God,2021,https://boxd.it/8LYmrP,3.5,2025-02-08,Grazie a Dio che Daniela è uscita dal bagno.,Drama,Italy
Saltburn,2023,https://boxd.it/8QGVTt,4.0,2025-02-16,It would have been somehow pointless without a twist.,"Drama, Comedy, Thriller","United Kingdom, United States of America"
My Fault: London,2025,https://boxd.it/8RqptZ,0.5,2025-02-16,An English subtitle for “Culpa Mia” couldn’t do the job?,"Drama, Romance","Spain, United Kingdom, United States of America"
Beautiful Disaster,2023,https://boxd.it/8SMQ5X,1.0,2025-02-18,Good amout of naked Dylan tho.,"Romance, Drama, Comedy",United States of America
Wolfs,2024,https://boxd.it/8TX6zD,3.0,2025-02-20,,"Crime, Comedy",United States of America
Cherry,2021,https://boxd.it/8VfVpJ,3.0,2025-02-21,,"Drama, Crime",United States of America
Parthenope,2024,https://boxd.it/8VzDLd,4.0,2025-02-23,“Alla fine della vita resterà solo l’ironia“,Drama,"France, Italy"
My Old Ass,2024,https://boxd.it/93mW99,2.0,2025-03-06,,"Comedy, Drama",United States of America
A Complete Unknown,2024,https://boxd.it/9CRWPr,2.5,2025-03-08,,"Drama, Music",United States of America
The Brutalist,2024,https://boxd.it/94F2gb,3.5,2025-03-09,,Drama,"United Kingdom, United States of America"
Triangle of Sadness,2022,https://boxd.it/9CQw27,2.5,2025-03-10,,"Comedy, Drama","Denmark, France, Germany, Greece, Mexico, Sweden, Switzerland, Turkey, United Kingdom, United States of America"
The Gorge,2025,https://boxd.it/98SOqb,3.0,2025-03-14,,"Romance, Science Fiction, Thriller",United States of America
Without Her,2022,https://boxd.it/9CQsr3,2.0,2025-04-04,,"Thriller, Mystery",Iran
A Relic of the South,2024,https://boxd.it/9CQtvl,2.5,2025-04-07,,Unknown,Unknown
Entourage,2015,https://boxd.it/9CQcRf,2.5,2025-04-12,,"Comedy, Drama",United States of America
Game Night,2018,https://boxd.it/9CQeGX,2.0,2025-04-13,,"Mystery, Comedy, Crime",United States of America
Bad Teacher,2011,https://boxd.it/9CQhk1,3.0,2025-04-17,,Comedy,United States of America
EuroTrip,2004,https://boxd.it/9CQj2j,2.0,2025-05-03,,Comedy,United States of America
Finding You,2021,https://boxd.it/9CQprz,2.5,2025-05-04,,"Romance, Drama",United States of America
Vanilla Sky,2001,https://boxd.it/9F2beX,3.0,2025-05-10,,"Mystery, Romance, Science Fiction","United States of America, Spain"
Perfect Days,2023,https://boxd.it/9LEh0x,3.5,2025-05-22,,Drama,"Germany, Japan"
The Great Beauty,2013,https://boxd.it/9NxC3B,3.5,2025-05-25,Voglio essere un gatto in Roma.,Drama,"France, Italy"
Mickey 17,2025,https://boxd.it/9NQaDT,3.0,2025-05-25,I want a Nasha.,"Science Fiction, Comedy, Adventure","United States of America, United Kingdom"
Leap Year,2010,https://boxd.it/9R27vD,3.0,2025-05-30,,"Romance, Comedy","Ireland, United States of America"
Slumdog Millionaire,2008,https://boxd.it/ah2cUn,3.0,2025-07-05,,"Drama, Romance",United Kingdom
Big Fish,2003,https://boxd.it/anw1DJ,3.5,2025-07-17,,"Adventure, Fantasy, Drama",United States of America
Materialists,2025,https://boxd.it/audh4F,2.0,2025-07-25,,"Romance, Drama","United States of America, Finland"
Yes Man,2008,https://boxd.it/aCKg7r,3.0,2025-08-01,,"Comedy, Romance","United Kingdom, United States of America"
Fifty Shades of Grey,2015,https://boxd.it/aCKqpP,0.5,2025-08-02,,"Drama, Romance, Thriller",United States of America
Downsizing,2017,https://boxd.it/aCKgY1,2.0,2025-08-03,,"Drama, Science Fiction, Comedy",United States of America
The Girl on the Train,2016,https://boxd.it/aCKi3r,3.5,2025-08-05,,"Crime, Mystery, Thriller","India, United States of America"
Civil War,2024,https://boxd.it/aGAlpB,4.0,2025-08-10,Dreamy!,"War, Action, Drama","Finland, United Kingdom, United States of America"
Into the Wild,2007,https://boxd.it/aI7OWf,2.5,2025-08-11,Don’t eat the herbs that you don’t know about.,"Adventure, Drama",United States of America
My Oxford Year,2025,https://boxd.it/aI7PWP,0.5,2025-08-12,Jeez.,"Romance, Comedy, Drama",United States of America
Persepolis,2007,https://boxd.it/aJYBAP,3.5,2025-08-14,,"Animation, Drama","France, United States of America"
Meet Cute,2022,https://boxd.it/beEdzd,0.5,2025-10-01,,"Comedy, Romance, Science Fiction, Fantasy","Canada, United States of America"
He's Just Not That Into You,2009,https://boxd.it/bY6owF,2.5,2025-12-07,,"Comedy, Romance, Drama",United States of America
Annie Hall,1977,https://boxd.it/ccjZe1,3.0,2025-12-08,,"Comedy, Drama, Romance",United States of America
"Crazy, Stupid, Love.",2011,https://boxd.it/cbffW5,2.5,2025-12-20,,"Comedy, Drama, Romance",United States of America
Match Point,2005,https://boxd.it/cck3y5,3.0,2025-12-23,Ughhhhhh (I hate Chris),"Drama, Romance, Thriller","United Kingdom, United States of America, Luxembourg"
Wedding Crashers,2005,https://boxd.it/cfKMP5,3.0,2025-12-26,Boobieeeesssa,"Comedy, Romance",United States of America
Uncut Gems,2019,https://boxd.it/chrLF9,3.5,2025-12-28,,"Drama, Thriller, Crime",United States of America
Ask Me If I'm Happy,2000,https://boxd.it/cmZW6H,4.0,2026-01-01,,Comedy,Italy
One Battle After Another,2025,https://boxd.it/cWoh1V,3.0,2026-01-31,,"Thriller, Crime, Comedy",United States of America
Bugonia,2025,https://boxd.it/d2ZKyd,2.5,2026-02-06,,"Science Fiction, Thriller, Comedy","Ireland, South Korea, United States of America, Canada"
No Other Choice,2025,https://boxd.it/d3aVeF,3.5,2026-02-08,,"Comedy, Crime, Thriller","South Korea, France"
Hamnet,2025,https://boxd.it/dchYR1,4.0,2026-02-18,Dimmi una storia commovente,"Drama, Romance, History","United Kingdom, United States of America"
Crime 101,2026,https://boxd.it/dChfOv,3.0,2026-03-20,,"Crime, Thriller","United Kingdom, United States of America"
Sinners,2025,https://boxd.it/dCszq1,1.0,2026-03-21,I’d rather watch twilight. At least there’s Robert Pattinson.,"Horror, Action, Thriller",United States of America
A Girl Walks Home Alone at Night,2014,https://boxd.it/dIRvsh,2.0,2026-03-28,Solo perché c’era il micio.,"Horror, Romance",United States of America
Die My Love,2025,https://boxd.it/dKZmXz,3.5,2026-03-29,Jennifer Lawrence is really affected by whole motherhood thing.,Drama,United States of America
How to Make Millions Before Grandma Dies,2024,https://boxd.it/dPHMQt,4.0,2026-04-04,,Drama,Thailand
Marty Supreme,2025,https://boxd.it/dS0Aet,3.0,2026-04-06,,"Drama, Thriller",United States of America
